song_title,album,year,singer,lyricist,composer,imdb_id
ye mere a.Ndhere ujaale na hote,Prem Patra,1962,"Talat, Lata",Rajinder Krishan,Salil Choudhary,tt0056367
"Dhuu.NDhe nazar-nazar, meraa chaa.Nd hai kidhar",Dilli Ka Dada,1962,"Mahendra Kapoor, Asha",Jaan Nisar Akhtar,N Dutta,
"terii yaad dil se, bhulaane chalaa huu.N",Hariyali Aur Rasta,1962,Mukesh,Shailendra,Shankar-Jaikishan,tt0156593
chhe.Daa mere dil ne taraanaa tere pyaar kaa,Asli Naqli,1962,Rafi,Hasrat,Shankar-Jaikishan,tt0244409
taaro.n kii Tha.nDii chhai.nyaa ... saiyaa.n yaad rahe,Naag Devta,1962,"Mukesh, Suman",Qamar Jalalabadi,S N Tripathi,
ek nazar kisii ne dekhaa aur dil huaa diivaanaa,Rungoli,1962,"Lata, Kishore",Shailendra,Shankar-Jaikishan,tt0056394
khulii palak me.n jhuuthaa gussaa band palak me.n pyaar,Professor,1962,Rafi,Shailendra,Shankar-Jaikishan,tt0056379
merii tasaviir lekar kyaa karoge tum,Kaala Samundar,1962,"Rafi, Asha",Anand Bakshi,N Dutta,
kabhii tum bhii ham se the aashanaa tumahe.n yaad ho ki na yaad ho,Pakistani-film{Ghunghat),1962,Noorjehan,Tanveer Naqvi,Khurshid Anwar,
nazar bachaa kar chale gaye vo varanaa ghaayal kar detaa,Dil Tera Diwana,1962,Rafi,Hasrat,Shankar-Jaikishan,tt0250339
saavan kii raato.n me.n aisaa bhii hotaa hai,Prem Patra,1962,"Talat Mahmood, Lata",Gulzar,Salil Chowdhury,tt0056367
"laakho.n taare aasamaan me.n, ek magar Dhuu.NDe naa milaa",Hariyali Aur Rasta,1962,"Mukesh, Lata",Shailendra,Shankar-Jaikishan,tt0156593
"teraa meraa pyaar amar, phir kyo.n mujhako lagataa hai Dar",Asli Naqli,1962,Lata,Hasrat,Shankar-Jaikishan,tt0244409
bol merii taqadiir me.n kyaa hai mere hamasafar ab to bataa,Hariyali Aur Rasta,1962,"Lata, Mukesh",Shailendra,Shankar-Jaikishan,tt0156593
mujhe kitanaa pyaar hai tum se apane hii dil se puuchho tum,Dil Tera Diwana,1962,"Rafi, Lata",Shailendra,Shankar-Jaikishan,tt0250339
chal di_e de ke Gam ye na sochaa ke ham,Son Of India,1962,Lata,Shakeel,Naushad,tt0232674
ek baat puuchhataa huu.N gar tum buraa na maano,Banarsi Thug,1962,"Mukesh, Usha",Akhtar Warasi Lakhnawi,Iqbal Qureshi,
hame.n chaahe badanaam ... aa merii nazare hasii.n hai.n,Ek Musafir Ek Hasina,1962,Asha,Shevan Rizvi,O P Nayyar,tt0055949
ham terii lagan me.n magan bahut din bhaTake,Zindagi Aur Hum,1962,Lata,Shiv Kumar,Roshan,
hamako tumhaare ishq ne kyaa\-kyaa banaa diyaa,Ek Musafir Ek Hasina,1962,Rafi,Shevan Rizvi,O P Nayyar,tt0055949
jaa re jaa re merii chho.D chunariyaa,Zindagi aur Hum,1962,Lata,Shiv Kumar,Roshan,
ai merii jaan\-e\-vafaa maine dekhaa hai ye kyaa,Neeli Ankhen,1962,Mukesh,Gulshan Bawra,Duttaram,
ye ra.ng na chhuuTegaa ulfat kii nishaanii hai,China Town,1962,"Rafi, Asha",Majrooh,Ravi,tt0268220
ai mohabbat merii duniyaa me.n teraa kaam na thaa,Bees Saal Baad,1962,Lata,Shakeel,Hemant Kumar,tt0055783
sa.mbhal ke baiTho ... chaa.Nd hai taare bhii hai.n,Rooplekha,1962,"Rafi, Suman",Faruk Kaisar,Naushad,
sudh bisar gayii aaj,Sangeet Samrat Tansen,1962,"Rafi, Manna De",Shailendra,S N Tripathi,tt0368239
ik but banaa_uu.Ngaa teraa aur puujaa karuu.Ngaa,Asli Naqli,1962,Rafi,Hasrat,Shankar-Jaikishan,tt0244409
jaao jaao na.nd ke laalaa,Rungoli,1962,Lata,Shailendra,Shankar-Jaikishan,tt0056394
bijalii giraa ke aap Kud ... dil teraa diivaanaa,Dil Tera Diwana,1962,"Rafi, Lata",Shailendra,Shankar-Jaikishan,tt0250339
"tujhe jiivan kii Dor se, baa.Ndh liyaa hai, terii zulm\-o\-sitam",Asli Naqli,1962,"Rafi, Lata",Hasrat,Shankar-Jaikishan,tt0244409
kal kii daulat aaj kii Kushiyaa.N ... asalii kyaa hai naqalii kyaa hai,Asli Naqli,1962,Rafi,Shailendra,Shankar-Jaikishan,tt0244409
o shamaa mujhe phuu.nk de ... paravaane jaa hai ajab chalan,Aashiq,1962,"Mukesh, Lata",Shailendra,Shankar-Jaikishan,tt0054591
phir aane lagaa yaad vohii pyaar kaa aalam,Ye Dil Kisko Doon,1963,"Rafi, Usha Khanna",Qamar Jalalabadi,Iqbal Qureshi,tt0447559
ye Kaamoshiyaa.N ye tanahaaiyaa.N,Ye Raaste Hain Pyar Ke,1963,"Rafi, Asha",Rajinder Krishan,Ravi,
ye raaste hai.n pyaar ke chalanaa sa.Nbhal\-sa.Nbhalake,Yeh Raaste Hain Pyar Ke,1963,Asha,Rajinder Krishan,Ravi,
aaj ye merii zi.ndagii dekho Kushii me.n jhuumatii,Yeh Raaste Hain Pyar Ke,1963,Asha,Rajinder Krishan,Ravi,
merii pahalii aarazuu kaa ye salaam yaad rakhanaa,Pyar Ka Bandhan,1963,"Rafi, Asha",Qamar Jalalabadi,Ravi,
sun chaa.Nd merii ye daastaan,Naag Jyoti,1963,Mukesh,Bharat Vyas,Sardar Malik,
ye ra.ngiin mahafil gulaabii\-gulaabii,Shikari,1963,Asha,Qamar Jalalabadi,G S Kohli,tt0230771
ye kaisii ajab daastaa.N ho gayii hai,Rustom Sohrab,1963,Suraiyya,Qamar Jalalabadi,Sajjad,tt0133188
ai dil tujhe ab unase ye kaisii shikaayat hai,Shararat (Pakistani-Film),1963,Masood Rana,Masroor Anwar,Deboo Bhattacharya,
tunak tun\-tun bole jiyaa ... ise kahii.n pyaar pyaar pyaar ho naa jaa_e,Kahin Pyar Na Ho Jaye,1963,"Rafi, Lata",Qamar Jalalabadi,Kalyanji-Anandji,
vo din yaad karo,Hamrahi,1963,"Rafi, Lata",Hasrat,Shankar-Jaikishan,tt0254372
"ye din, din hai.n Kushii ke",Jab Se Tumhen Dekha Hai,1963,"Manna De, Suman Kalyanpur",Shailendra,Dattaram,
ye tanhaaii haay re haay re jaane phir aae naa aae,Tere Ghar Ke Saamne,1963,Lata,Hasrat,S D Burman,
Thumak\-Thumak mat chalo kisii kaa dil ta.Dapegaa,Kahin Pyar Na Ho Jaye,1963,Mukesh,Indeevar,Kalyanji-Anandji,
ye kis ne giit chhe.Daa,Meri Soorat Teri Aankhen,1963,"Mukesh, Suman Kalyanpur",Shailendra,S D Burman,
tujhe chaa.Nd kahuu.N yaa phuul kahuu.N,Sunehri Nagin,1963,"Mukesh, Lata",Farooq Kaisar,Kalyanji-Anandji,tt0242918
yaad torii aa_ii mai.n to chham\-chham ro_ii re,Faulad,1963,Asha,Farooq Qaisar,G S Kohli,tt0175608
"aa.Nchal me.n sajaa lenaa kaliyaa.n, zulfo.n me.n sitaare bhar lenaa",Phir Vahi Dil Laya Hoon,1963,Rafi,Majrooh,O P Nayyar,
yahaa.N koii nahii.n teraa mere sivaa,Dil Ek Mandir,1963,Rafi,Hasrat,Shankar-Jaikishan,tt0139157
"bandaa paravar, thaam lo jigar...phir vahii dil laayaa huu.N",Phir Vahi Dil Laya Hoon,1963,"Rafi, chorus",Majrooh,O P Nayyar,
phir tumhaarii yaad aayii ai sanam,Rustom Sohrab,1963,"Rafi, Manna Dey, Saadat Khan, Chorus",Qamar Jalalabadi,Sajjad Hussain,tt0133188
chorii\-chorii jo tumase milii ... ajii ise pyaar kahe.nge,Parasmani,1963,"Mukesh, Lata",Faruk Kaisar,Laxmikant Pyarelal,tt0242760
dil tuu bhii gaa pyaar me.n muskaraa,Hamrahi,1963,Rafi,Shailendra,Shankar-Jaikishan,tt0254372
mohe na yuu.N ghuur\-ghuur kar dekho,Mujhe Jeene Do/ Cry For Life,1963,"Lata, Chorus",Sahir,Jaidev,
mujhe tumase muhabbat hai magar mai.n kah nahii.n sakataa,Bachpan,1963,Rafi,Hasrat,Sardar Malik,tt28455705
ham tere pyaar me.n saaraa aalam kho baiThe,Dil Ek Mandir,1963,Lata,Hasrat,Shankar-Jaikishan,tt0139157
karake jisakaa i.ntazaar meraa dil gayaa haar,Hamrahi,1963,"Rafi, Lata",Shailendra,Shankar-Jaikishan,tt0254372
mast nazar dekh idhar ham hai.n vahii dilavaale,Ek Dil Sau Afsane,1963,Mukesh,Shailendra,Shankar-Jaikishan,tt0057024
ye jhuke\-jhuke nainaa ye laT balakhaatii,Bharosa,1963,Rafi,Rajinder Krishan,Ravi,tt0056866
"ik ghar banaauu.ngaa, tere ghar ke saamane",Tere Ghar Ke Saamne,1963,"Rafi, Lata",Hasrat,S D Burman,
churaa le naa tumako ye mausam suhaanaa,Dil Hi To Hai,1963,"Mukesh, Suman",Sahir,Roshan,tt0056998
"dil kaa bha.nvar kare pukaar, pyaar kaa raag suno",Tere Ghar Ke Saamne,1963,Rafi,Majrooh,S D Burman,
lag jaa gale ki phir ye hasii.n raat ho na ho,Woh Kaun Thi,1963,Lata,Raja Mehdi Ali Khan,Madan Mohan,tt0232960
ajii qiblaa mohataramaa kabhii sholaa kabhii nagmaa,Phir Wohi Dil Laya Hoon,1963,Rafi,Majrooh,O P Nayyar,tt0057409
"naazanii.n, ba.Daa ra.Ngii.n hai vaadaa teraa",Phir Vahi Dil Laya Hoon,1963,"Rafi, Asha",Majrooh,O P Nayyar,
aa.Nkho.n se jo utarii hai dil me.n,Phir Vahi Dil Laya Hoon,1963,Asha,Majrooh,O P Nayyar,
dekho bijalii Dole bin baadal kii,Phir Wohi Dil Laya Hoon,1963,"Asha, Usha",Majrooh,O P Nayyar,tt0057409
"laakho.n hai nigaaho.n me.n, zi.ndagii kii raah me.n",Phir Vahi Dil Laya Hoon,1963,Rafi,Majrooh,O P Nayyar,
ye vaadiyaa.N ye fizaae.N bulaa rahii hai.n tumhe.n,Aaj Aur Kal,1963,Rafi,Sahir,Ravi,tt0056805
khudaa\-e\-bartar,Taj Mahal,1963,Lata,Sahir,Roshan,tt0057555
"ye dil tum bin kahii.n lagataa nahii.n, ham kyaa kare.n",Izzat,1963,"Lata, Rafi",Sahir,Laxmikant-Pyarelal,tt30442114
kaahe itanaa gumaan chhori_e ye melaa do din kaa,Bharosa,1963,"Rafi, Asha",Rajinder Krishan,Ravi,tt0056866
piparaa ke patavaa sariikhe Dole manavaa,Godaan,1963,Rafi,Anjaan,Ravishankar,tt0370598
o bedardii kyuu.N ta.Dapaa_e ... o madhubainii kaahe lubhaa_e,Godaan,1963,"Geeta, Mahendra Kapoor, Chorus",Anjaan,Ravishankar,tt0370598
ye hawaa ye fizaa hai udaas jaise meraa dil aa bhii jaa,Gumrah,1963,Mahendra Kapoor,Sahir,Ravi,tt0057120
agar sun le to ik nagamaa huzuur\-e\-yaar laayaa huu.N,Ek Raaz,1963,Kishor,Majrooh,Chitragupt,tt0207445
ai dil kisii kii yaad me.n hotaa hai beqaraar kyuu.N,Ik Tera Sahara (Pakistan),1963,Saleem Raza,Qateel Shifai,Inayat Husein,
chalii aaj gorii piyaa kii nagariyaa,Godaan,1963,Lata,Anjaan,Ravi Shankar,tt0370598
hiyaa jarat rahat din rain,Godaan,1963,Mukesh,Anjaan,Ravi Shankar,tt0370598
tumako piyaa dil diyaa kitane naaz se,Shikari,1963,"Lata, Usha",Faruk Kaisar,G S Kohli,tt0230771
dilarubaa dil pe tuu ye sitam ki_e jaa ki_e jaa,Raj Kumar,1964,"Rafi, Asha",Shailendra,Shankar-Jaikishan,
jaane vaale zaraa hoshiyaar yahaa.N ke ham hai.n raaj kumaar,Rajkumar,1964,Rafi,Shailendra,Shankar-Jaikishan,tt0314557
tum sitam aur karo TuuTaa nahii.n dil ye abhii,Dulha Dulhan,1964,Mukesh,Indivar,Kalyanji Anandji,tt0058045
haae re haae ye mere haath me.n teraa haath ... merii jaa.N balle balle,Kashmir Ki Kali,1964,"Rafi, Asha",S H Bihari,O P Nayyar,tt0058257
paas baiTho tabiiyat bahal jaayegii,Punar Milan,1964,Rafi,Indeevar,C Arjun,
subhaan allaah hasii.n cheharaa ye mastaanaa adaa_e.N,Kashmir Ki Kali,1964,Rafi,S H Bihari,O P Nayyar,tt0058257
ye chaa.Nd saa roshan cheharaa (taariif karuu.N kyaa usakii),Kashmir Ki Kali,1964,Rafi,S H Bihari,O P Nayyar,tt0058257
jo pyaar tuune mujhako diyaa thaa,Dulha Dulhan,1964,Mukesh,Indivar,Kalyanji Anandji,tt0058045
aa.Nkho.n aa.Nkho.n me.n har ik raat guzar jaatii hai,Marvel Man,1964,Mubarak Begum,Yogesh,Robin Banerjee,
mai.n ye sochakar usake dar se uThaa thaa,Haqeeqat,1964,Rafi,Kaifi Azmi,Madan Mohan,tt0154565
haal\-e\-dil unako sunaanaa thaa sunaayaa naa gayaa,Fariyad,1964,Suman Kalyanpur,Kidar Sharma,Snehal Bhatkar,
vo dekho dekhaa dekh rahaa thaa papiihaa,Fariyad,1964,"Mahendra Kapoor, Suman Kalyanpur",Kidar Sharma,Snehal Bhatkar,
tum ne pukaaraa aur ham chale aae,Rajkumar,1964,"Suman Kalyanpur, Rafi",Shailendra,Shankar-Jaikishan,tt0314557
mujhe ye phuul na de,Ghazal,1964,"Rafi, Suman Kalyanpur",Sahir,Madan Mohan,tt0139237
ham ne tujh ko pyaar kiyaa hai jitanaa,Dulha Dulhan,1964,Mukesh,Indeevar,Kalyanji-Anandji,tt0058045
naach re man badkammaa Thumak\-Thumak badakammaa,Raj Kumar,1964,"Lata, Asha",Shailendra,Shankar-Jaikishan,
"dost dost naa rahaa, pyaar pyaar naa rahaa",Sangam,1964,Mukesh,Shailendra,Shankar-Jaikishan,tt0058547
terii nigaaho.n pe mar\-mar ga_e ham,Shabnam,1964,Mukesh,Javed Anwar,Usha Khanna,tt0155161
phir Thes lagii dil ko phir yaad ne ta.Dapaayaa,Kashmir Ki Kali,1964,Asha,S H Bihari,O P Nayyar,tt0058257
mai.n to kar\-kar binatii haar ga_ii,Pakistani-film{Chingari),1964,Noorjehan,Qateel Shifai,Khurshid Anwar,
tum hame.n pyaar karo yaa na karo,Kaise Kahoon,1964,Lata,Shakeel,S D Burman,
ye raat bahut ra.ngiin sahii,Shagoon,1964,Rafi,Sahir,Khayyam,tt0268631
tujhe pyaar karate hai.n karate rahe.nge,April Fool,1964,"Rafi, Suman",Hasrat,Shankar-Jaikishan,tt0244977
agar terii jalavaa\-numaa_ii na hotii,Beti Bete,1964,"Rafi, Suman",Hasrat,Shankar-Jaikishan,tt0057884
har dil jo pyaar karegaa vo gaanaa gaayegaa,Sangam,1964,"Mukesh, Lata, Mahendra Kapoor",Shailendra,Shankar-Jaikishan,tt0058547
kah do kah do jahaa.N se kah do ishq par zor nahii.n,April Fool,1964,"Rafi, Suman",Hasrat,Shankar-Jaikishan,tt0244977
ai sanam aaj ye qasam khaa_e.N,Jahanara,1964,"Lata, Talat",Rajinder Krishan,Madan Mohan,
o sanam tere ho ga_e ham pyaar me.n tere kho ga_e ham,Ayee Milan Ki Bela,1964,"Rafi, Lata",Shailendra,Shankar-Jaikishan,tt0233147
o re sanam dil ye kaise bataae,Pakistani-film{Tauba),1964,Noorjehan,Faiyaz Hashmi,A Hamid,
pyaar aa.Nkho.n se jataayaa to buraa maan ga_e,Ayee Milan Ki Bela,1964,Rafi,Hasrat,Shankar-Jaikishan,tt0233147
mai.n pyaar kaa diivaanaa sabase mujhe ulfat hai,Ayee Milan Ki Bela,1964,Rafi,Hasrat,Shankar-Jaikishan,tt0233147
ruk jaa ho ruk jaa rokataa hai ye diivaanaa,Mr. X in Bombay,1964,Kishor,Anand Bakshi,Laxmikant-Pyarelal,tt0357926
chhuune na duu.Ngii haath re najariyo.n se dil bhar duu.Ngii,Zindagi,1964,"Rafi, Asha",Hasrat,Shankar-Jaikishan,tt0058774
chhuune na duu.Ngii haath re najariyo.n se dil bhar duu.Ngii,Zindagi,1964,"Lata, Asha",Hasrat,Shankar-Jaikishan,tt0058774
kahii.n qaraar na ho aur kahii.n Kushii na mile,Chandi Ki Deewar,1964,Rafi,Sahir,N Dutta,tt0386371
merii jaan na zulfe.n kholo kahii.n raat Thahar naa jaa_e,Awara Baadal,1964,Mukesh,Jaan Nisar Akhtar,Usha Khanna,
jisake li_e ta.Dape ham ... yahii hai vo saa.Njh aur saveraa,Saanjh Aur Savera,1964,"Rafi, Asha",Hasrat,Shankar-Jaikishan,
yahii hai tamannaa tere dar ke saamane,Aapki Parchhaiyan,1964,Rafi,Raja Mehandi Ali Khan,Madan Mohan,
bahaar\-e\-husn terii ... jahaa.N tuu hai vahaa.N phir chaa.Ndanii,Aao Pyar Karen,1964,Rafi,Rajinder Krishan,Usha Khanna,
bhor bha_e nit suuraj uge ... Kabar morii naa liinii re,Sant Gyaneshwar,1964,Lata,Bharat Vyas,Laxmikant-Pyarelal,
banaa ke meraa muqaddar ... kyaa yuu.N hii ruuTh ke,Door Ki Awaz,1964,Rafi,Shakeel,Ravi,tt0214639
ye baat hotii hai paidaa janaab baraso.n me.n,Majboor,1964,Rafi,Anand Bakshi,Kalyanji-Anandji,
adaa qaatil nazar barq-e-balaa yuu.N bhii hai,Ghazal,1964,Asha,Sahir,Madan Mohan,tt0139237
ishaaro.n ishaaro.n me.n dil lene vaale,Kashmir Ki Kali,1964,"Rafi, Asha",S H Bihari,O P Nayyar,tt0058257
"hai duniyaa usii kii, zamaanaa usii kaa",Kashmir Ki Kali,1964,Rafi,S H Bihari,O P Nayyar,tt0058257
balamaa khulii havaa me.n,Kashmir Ki Kali,1964,Asha,S H Bihari,O P Nayyar,tt0058257
diivaanaa huaa baadal,Kashmir Ki Kali,1964,"Rafi, Asha",S H Bihari,O P Nayyar,tt0058257
kisii na kisii se kabhii na kabhii ... dil lagaanaa pa.Degaa,Kashmir Ki Kali,1964,Rafi,S H Bihari,O P Nayyar,tt0058257
mai.n huu.N diivaanaa ba.Daa mastaanaa,Haqdaar,1964,Mukesh,Prem Warbartani,Bulo C Rani,
ham bhii agar bachche hote ... ##happy birthday to you##,Door Ki Awaz,1964,"Asha, Manna Dey, Rafi, Chorus",Shakeel,Ravi,tt0214639
"ye samaa, samaa hai ye pyaar kaa",Jab Jab Phool Khile,1965,Lata,Anand Bakshi,Kalyanji-Anandji,tt0305689
sika.ndar bhii aaye ... na ko_ii rahaa hai ... ye desh aazaad ho ke rahegaa,Johar Mehmood in Goa,1965,"Mukesh, Usha Khanna",Qamar Jalalabadi,Kalyanji Anandji,tt0231827
nazar uThaa ki ye ra.ngii.n samaa.N rahe na rahe,Ek Saal Pehle,1965,"Talat Mahmood, Asha",Jaan Nisaar Akhtar,C Arjun,
"tum se achchhaa kaun hai, dil lo jigar lo jaan lo",Jaanwar,1965,Rafi,Hasrat,Shankar-Jaikishan,
"Tuka.De hai.n mere dil ke, ai yaar tere aa.Nsuu",Mere Sanam,1965,Rafi,Majrooh,O P Nayyar,tt0059445
dil\-e\-naadaa.N ko sa.Nbhaaluu.N to chale jaaiyegaa,Faraar,1965,Lata,Kaifi Azmi,Hemant Kumar,tt0244508
"ye hai reshamii, zulfo.n kaa andheraa na ghabaraaiye",Mere Sanam,1965,Asha,Majrooh,O P Nayyar,tt0059445
"laal chha.Dii maidaan kha.Dii, kyaa khuub la.Dii, kyaa khuub la.Dii",Jaanwar,1965,Rafi,Shailendra,Shankar-Jaikishan,
merii muhabbat javaa.N rahegii,Jaanwar,1965,Rafi,Hasrat,Shankar-Jaikishan,
pyaar kii daastaa.N tum suno to kahe.n,Faraar,1965,Lata,Kaifi Azmi,Hemant,tt0244508
ye kaun thak ke so rahaa,Tu Hi Meri Zindagi,1965,Asha,Neeraj,Rono Deb Mukherjee,tt1847735
ye zulf agar khul ke bikhar jaae to achchhaa,Kaajal,1965,Rafi,Sahir,Ravi,tt0139398
rokaa ka_ii baar mainne dil kii uma.ng ko,Mere Sanam,1965,"Rafi, Asha",Majrooh,O P Nayyar,tt0059445
phir terii yaad naye giit sunaane aa_ii,Bekhabar,1965,Rafi,Raja Mehdi Ali Khan,S Mohinder,
dhiire re chalo morii baa.nkii hiraniyaa,Johar Mehmood in Goa,1965,Mukesh,Qamar Jalalabadi,Kalyanji Anandji,tt0231827
a.Nkhiyo.n kaa nuur hai tuu a.Nkhiyo.n se duur hai tuu,Johar Mehmood in Goa,1965,"Mukesh, Suman",Qamar Jalalabadi,Kalyanji Anandji,tt0231827
"mai.n to ek khvaab huu.N, is khvaab se tuu pyaar na kar",Himalay Ki God Mein,1965,Mukesh,Qamar Jalalabadi,Kalyanji-Anandji,tt0156606
samajhii thii ke ye ghar meraa hai maaluum hu_aa mehamaan thii mai.n,Kaajal,1965,Asha,Sahir,Ravi,tt0139398
tumhe.n zindagii ke ujaale mubaarak a.ndhere hame.n,Purnima,1965,Mukesh,Gulzar,Kalyanji-Anandji,tt0139548
"ek tuu jo milaa, saarii duniyaa miilii, khilaa jo meraa dil",Himalay Ki God Mein,1965,Lata,Indeevar,Kalyanji-Anandji,tt0156606
jahaa.N Daal-Daal par sone kii chi.Diyaa.N karatii hai.n baseraa,Sikandar-e-Azam,1965,Rafi,Rajinder Krishan,Hansraj Behl,
jaag dil-e-diivaanaa rut jaagii vasl-e-yaar kii,Oonche Log,1965,Rafi,Majrooh,Chitragupt,tt0236554
"ye dard bharaa afasaanaa, sun le anajaan zamaanaa, zamaanaa",Shriman Funtoosh,1965,Kishore,Anand Bakshi,Laxmikant-Pyarelal,
"hamadam mere, maan bhii jaao",Mere Sanam,1965,Rafi,Majrooh,O P Nayyar,tt0059445
pukaarataa chalaa huu.N mai.n,Mere Sanam,1965,Rafi,Majrooh,O P Nayyar,tt0059445
"hue hai.n tum pe aashiq ham, bhalaa maano buraa maano",Mere Sanam,1965,Rafi,Majrooh,O P Nayyar,tt0059445
haa.N jii baabaa  haa.N jii baabaa,Mere Sanam,1965,"Asha, Rafi",Majrooh,O P Nayyar,tt0059445
ham ne to dil ko aapake kadamo.n pe rakh diyaa,Mere Sanam,1965,"Rafi, Asha",Majrooh,O P Nayyar,tt0059445
bolo jii bolo kuchh ... paravaanaa terii mahafil aayaa hai,Nishan,1965,"Mukesh, Suman",Javed Anwar,Usha Khanna,tt0154954
haay tabassum teraa ... dhuup khil ga_ii raat me.n,Nishan,1965,Rafi,Javed Anwar,Usha Khanna,tt0154954
pyaasii hiranii ban\-ban dhaa_e,Do Dil,1965,Lata,Kaifi Azmi,Hemant Kumar,tt0175572
saaraa moraa kajaraa chhu.Daayaa tuune,Do Dil,1965,"Rafi, Arti Mukherji",Kaifi Azmi,Hemant Kumar,tt0175572
uf kitanii ThaNDii hai ye rut sulaGe hai tanahaa_ii merii,Teen Deviyan,1965,"Lata, Kishore",Majrooh,S D Burman,
kar lo praNaam ai logo,(Non-film),1965,Asha,Pradeep,C Ramchandra,
"kaise din biite, kaise biitii ratiyaa",Anuradha,1965,Lata,Shailendra,Pt. Ravishankar,
kalpanaa ke ghana barasate,Amar Jyoti,1965,"Lata, Mahendra Kapoor",Bharat Vyas,Vasant Desai,
"chhuu lene do naazuk ho.nTho.n ko, kuchh aur nahii.n hai.n jaam hai.n ye",Kaajal,1965,Rafi,Sahir,Ravi,tt0139398
hame.n kaale haii.n to kyaa hu_aa dilavaale haii.n,Gumnaam,1965,"Rafi, Mehmood",Shailendra,Shankar-Jaikishan,tt0247394
jaan pahachaan ho,Gumnaam,1965,Rafi,Shailendra,Shankar-Jaikishan,tt0247394
gumanaam hai ko_ii badanaam hai ko_ii,Gumnaam,1965,Lata,Hasrat,Shankar-Jaikishan,tt0247394
ai nargis\-e\-mastaanaa bas itanii shikaayat hai,Arzoo,1965,Rafi,Hasrat,Shankar-Jaikishan,tt0058921
is duniyaa me.n jiinaa ho to sun lo merii baat,Gumnaam,1965,Lata,Hasrat,Shankar-Jaikishan,tt0247394
ho pyaar baa.NTate chalo,Hum Sab Ustad Hain,1965,Kishor,Asad Bhopali,Laxmikant-Pyarelal,tt0357769
aajaa re mere pyaar ke raahii,Oonche Log,1965,"Lata, Mahendra Kapoor",Majrooh,Chitragupt,tt0236554
terii yaad na dil se jaa sakii,Chand Aur Suraj,1965,Lata,Shailendra,Salil Chowdhury,tt0059023
sanam raah bhuule yahaa.N aate\-aate,Lutera,1965,Lata,Anand Bakshi,Laxmikant-Pyarelal,
thii shubha suhaaga kii raat madhur,Nai Umar Ki Nai Fasal,1965,Manna Dey,Manmohan Tiwari,Roshan,
pyaar kaa fasaanaa banaa le dil diivaanaa,Teesra Kaun,1965,"Mukesh, Lata",Anand Bakshi,R D Burman,tt0059787
din hai.n bahaar ke tere mere iqaraar ke,Waqt,1965,"Asha, Mahendra Kapoor, Chorus",Sahir,Ravi,tt0059893
na na karate pyaar tumhii.n se kar baiThe,Jab Jab Phool Khile,1965,"Rafi, Suman Kalyanpur",Anand Bakshi,Kalyanji-Anandji,tt0305689
abhii na paradaa giraa_o Thaharo,Non-film,1966,Hemant Kumar,Gulzar,Hemant Kumar,
hurre pyaar mohabbat ke sivaa ye zindagii kyaa zindagii,Pyar Mohabbat,1966,"Rafi, Asha",Hasrat,Shankar-Jaikishan,tt0274743
"huzuurevaalaa, jo ho ijaazat, to ham ye saare, jahaa.N se kah de.n",Ye Raat Phir Na Aayegi,1966,"Asha, Usha?",Aziz Kashmiri,O P Nayyar,
"yahii vo jagah hai, yahii vo fizaa hai",Ye Raat Phir Na Aayegi,1966,Asha,S H Bihari,O P Nayyar,
"meraa pyaar vo hai ke, mar kar bhii tum ko",Ye Raat Phir Na Aayegi,1966,Mahendra Kapoor,S H Bihari,O P Nayyar,
kitanii anjaanii suurate.n lekar ... jaane kahaa.N dekhaa hai,Biwi Aur Makaan,1966,Rafi,Gulzar,Hemant Kumar,
har tuka.Daa mere dil kaa detaa hai duhaa_ii,Yeh Raat Phir Na Aayegi,1966,Asha,Aziz Kashmiri,O P Nayyar,tt0061206
meraa naam hai umar jaanii khaa_uu.N roTii i.nglistaanii,Johar In Kashmir,1966,Mukesh,Indeevar,Kalyanji-Anandji,tt0231828
dabe labo.n se kabhii jo ko_ii,Biwi Aur Makan,1966,"Lata, Asha",Gulzar,Hemant Kumar,tt0244430
mai.n shaayad tumhaare liye ajanabii huu.N,Ye Raat Phir Na Aayegi,1966,Asha,S H Bihari,O P Nayyar,
phir miloge kabhii is baat kaa vaadaa karalo,Ye Raat Phir Na Aayegi,1966,"Rafi, Asha",S H Bihari,O P Nayyar,
ta.Dap ye din raat kii kasak ye bin baat kii,Aamrapali,1966,Lata,Shailendra,Shankar-Jaikishan,
muhabbat chiiz hai kyaa muhabbat karake dekhe.nge,Yeh Raat Phir Na Aayegi,1966,Asha,Aziz Kashmiri,O P Nayyar,tt0061206
ko_ii bechaaraa dil ko khokar,Sannata,1966,Lata,Gulzar,Hemant,tt0391442
din javaanii ke chaar yaar pyaar ki_e jaa,Pyar Kiye Ja,1966,Kishor,Rajinder Krishan,Laxmikant-Pyarelal,tt0176075
"aisaa hotaa to nahii.n, aisaa ho jaaye agar",Sannata,1966,Lata,Gulzar,Hemant,tt0391442
jannat kii tasviir ... kashmiir na de.nge,Johar In Kashmir,1966,Rafi,Indeevar,Kalyanji-Anandji,tt0231828
ye kalii jab talak phuul ban ke khile,Aaye Din Bahaar Ke,1966,"Lata, Mahendra Kapoor",Anand Bakshi,Laxmikant-Pyarelal,
badatamiiz kaho yaa kaho jaanavar meraa dil tere dil pe,Budtameez,1966,Rafi,Hasrat,Shankar-Jaikishan,tt0213532
