song_title,album,year,singer,lyricist,composer,imdb_id
ambuuvaa kii Daalii\-Daalii jhuum rahii hai aalii,Vidyapati,1937,"Kanan Devi, Dhumi Khan",Kedar Sharma,R C Boral,tt0028626
anuraadhaa o anuraadhaa ... gokul se gaye giradhaarii,Vidyapati,1937,K C Dey,Kedar Sharma,R C Boral,tt0028626
ek din raadhaa ne ba.nsuriyaa ... ik baa.Ns kii thii,Vidyapati,1937,Pahari Sanyal,Kedar Sharma,R C Boral,tt0028626
darshan hue tihaare saajan,Vidyapati,1937,Pahari Sanyal,Kedar Sharma,R C Boral,tt0028626
madhu\-ritu aa_ii phaagun kii sakhi,Vidyapati,1937,"Pahari Sanyal, Chorus",Kedar Sharma,R C Boral,tt0028626
man prem kii jyot jalaa sajanii,Anaath Aashram,1937,"Uma Shashi, Pahari Sanyal",Kedar Sharma,R C Boral,
Dole hriday kii naiyaa,Vidyapati,1937,Kanan Devi,Kedar Sharma,R C Boral,tt0028626
hari charanan me.n safal hot ... panaghaT pe kanhaiyaa aataa hai,Vidyapati,1937,K C Dey,Kedar Sharma,R C Boral,tt0028626
ra.ng Daaraa ra.ng Daaraa mohe prem ra.ng me.n,Vidyapati,1937,Rampyari 'Chapla',Kedar Sharma,R C Boral,tt0028626
Kudaa rakkhe aabaad jiivan tumahaaraa,Toofaani Taarzan,1937,Ahmad Dilawar,Pt Gyan,Master Mohammed,
"pujaarii, more mandir me.n aa_o",jaagirdaar,1937,"Surendra, Bibbo",Pt Indra,Anil Biswas,
har galii me.n hai.n bagiiche,Wahaan/ Beyond the Horizon,1937,Shanta Apte,Pt Narottam Vyas,Master Krishnarao,
bharane de mohe niir,Izzat,1937,"Ashok Kumar, Devika Rani",J S Kashyap 'Natawa',Saraswati Devi,tt0029060
matawaale naino.n waalii ghu.Ngharaale baalo.n waalii,Izzat,1937,"Ashok Kumar, Devika Rani",J S Kashyap 'Natawa',Saraswati Devi,tt0029060
ek thaa raajaa ek thii raanii dono.n par chhaa_ii thii jawaanii,Duniya Na Maane/ The Unexpected,1937,Shanta Apte,Munshi Aziz,Keshav Rao Bhole,
kyuu.N nainan se niir bahaa_e,Toofaani Toli/ Reckless Rogues,1937,Waheedan Bai,P L Santoshi,Gyan Dutt,
naa koii prem kaa rog lagaaye,President,1937,K L Saigal,Unknown,Pankaj Mallick,tt0273103
##Song of Life## ##In the world's broadfield of battle##,Duniya Na Maane/ The Unexpected,1937,Shanta Apte,H W Longfellow,Keshavrao Bhole,
kit jaa_oge kanhaiyaa man ke basaiyaa,Izzat,1937,Devika Rani,J S Kashyap 'Natawa',Saraswati Devi,tt0029060
"prem karat ban me.n, jalat tan me.n, piyaa base man me.n",Toofaani Taarzan,1937,Female Voice?,Pt Gyan,Master Mohammed,
kis na ye sab khel rachaayaa,Dhartimata,1938,Saigal,Pt. Sudarshan,Pankaj Mullick,
ai dard zaraa dam le,Zamaana,1938,Amirbai,D N Madhok,Sundar Das,
barakhaa kii raat aa_ii manavaa,Adhikar,1938,Pankaj Mullick,Munshi Arzoo,Timir Baran,tt0155474
suhaag kii raat aa_ii sajanii,Adhikaar,1938,Pahari Sanyal,Munshi Arzoo/ Rasheed,Timir Baran,
kahaa.N wo bachapan kaa pyaaraa sapanaa,Adhikaar,1938,"Pahari Sanyal, Pankaj Mullick",Munshi Arzoo/ Rasheed,Timir Baran,
kaun hai kisakaa miit muurakh,Abhaagin,1938,Akbar Khan Peshawari,Arzoo,R C Boral,
hausalaa aashiq ko chaahiye dil lagaane ke liye,Post Man/Abhilasha?,1938?,Akbar Khan Durrani Peshawari?,Zia Sarhadi?,Anil Biswas?,
yuu.N dard bhare dil kii awaaz sunaaye.nge,Kapal Kundala,1938,Pankaj Mullick,Arzoo,Pankaj Mullick,
suquun dil ko mayassar gul\-o\-samar me.n nahii.n,Street Singer,1938,"Saigal/ Kanan Devi, Saigal",Aarzoo Lakhnawi,Rai Chand Boral,tt0030806
kyuu.N hamane diyaa dil,Vatan,1938,Sitara,Wajahat Mirza,Anil Biswas,
mai.n tere gale kii maalaa,Gramophone Singer,1938,"Surendra Nath, Bibbo",Zia Sarhadi,Anil Biswas,tt0213687
mai.n man kii baat bataauu.N,Dhartimata,1938,"Saigal, Uma Shashi",Pt. Sudarshan,Pankaj Mullick,
sa.Nwariyaa prem kii bansii sunaa,Street Singer,1938,"Saigal/ Kanan Devi, Saigal",Aarzoo Lakhnawi,Rai Chand Boral,tt0030806
jhuki aa_ii re badariyaa saawan kii,Bhaabhi,1938,Renuka Devi,Meerabai,Saraswati Devi,
lo khaa lo maiDam khaanaa,Street Singer,1938,"Khemchand Prakash?, Female",Arzo Lucknavi,R C Boral,tt0030806
ek chhoTaa sa mandir banaaye.nge,Gramophone Singer,1938,Surendra Nath,Zia Sarhadi,Anil Biswas,tt0213687
kaahe akelaa Dolat baadal mohe bhii sa.ng le jaa,Gramophone Singer,1938,Surendra Nath,Zia Sarhadi,Anil Biswas,tt0213687
rut hai suhaanii mast hawaaye.n,Street Singer,1938,"Kanan Devi, K L Saigal",Arzo Lucknavi,R C Boral,tt0030806
"jaage aaj more bhaag, sahilii aa_o, gaa_o bajaa_o",Jwaala,1938,"Ratnaprabha, Chorus",Pt Indra,Dhamman Khan,
lachhamii muurat daras dikhaaye,Street Singer,1938,Kanan Devi,Arzoo Lucknowi,R C Boral,tt0030806
priitam se priit nibhaa_u.Ngii,Street Singer,1938,Kanan Devi,Arzo Lucknavi,R C Boral,tt0030806
saa.Nwar waalaa vahii re saa.Nwar jiyaraa re jaraaye,Pukaar,1939,"Naseem, Sardar Akhtar",Kamal Amrohi,Mir Sahab,
"raadhe raadhe, ba.nshii rahii pukaar",Kangan,1939,Arun Kumar,Pt Narottam Vyas,Saraswati Devi,tt0031527
kaahe ko mohe chhere re be_imanawaa,Pukaar,1939,"Sardar Akhtar, Chorus",Kamal Amrohi,Mir Sahab,
"bande, naav kaa la.ngar cho.D",Kangan,1939,Arun Kumar,Pt Narottam Vyas,Ramchandra Pal,tt0031527
he ho dhoye mahobe ghaaT ... dhobiyaa re dhobiyaa kahaa.N tumhaaro,Pukaar,1939,"Sardar Akhtar, Male Voice, Chorus",Kamal Amrohi,Mir Sahab,
tum bin hamarii kaun Kabar le govardhan giridhaarii,Pukaar,1939,Sheila,Kamal Amrohi,Mir Sahab,
saavan aaye yaa naa aaye piyaa ghar aaye saavan hai,Saadhana,1939,Harish,Kanhaiyalal Chaturvedi,Anupam Ghatak,
kyo.n baje hR^iday viinaa ke taar ... aa_ii bahaar aa_ii bahaar,Kangan,1939,"Ashok Kumar, Leela Chitnis",Pt. Narottam Vyas,Ramchandra Pal,tt0031527
jag maa hii jug\-jug jiyo,Pukaar,1939,Female Voice?,Kamal Amrohi,Mir Sahab,
zindagii kaa saaz bhii kyaa saaz hai,Pukaar,1939,Nasim Bano,Kamal Amrohi,Mir Saheb,
"dil me.n tuu, aa.Nkho.n me.n tuu, saa.Nso.n me.n tuu",Pukaar,1939,Menka,Kamal Amrohi,Mir Sahab,
giit suno wo giit saiyaa.N,Pukaar,1939,Sheela,Kamal Amrohi,Mir Sahab,
ab kisaliye kal kii baat kaTii ha.Nsii\-Kushii me.n raat,Aadmi/ Life Is For Living,1939,"Shanta Hublikar, Chorus",Munshi Aziz,Master Krishnarao,
raadhaa raadhaa pyaarii raadhaa raadhaa prem agaadhaa,Kangan,1939,"Ashok Kumar, Leela Chitnis",Pradeep,Ramchandra Pal,tt0031527
suunii pa.Dii re sitaar miiraa ke jiiwan kii,Kangan,1939,Leela Chitnis,Pradeep,Saraswati Devi,tt0031527
sitam the ... hazaar shukr ke... man darapan hai jag saaraa,Dushman/ The Enemy,1939,Saigal,Arzoo Lucknavi,Pankaj Mullick,
terii dayaa se ai dayii,Nartaki,1939,Pankaj,Pt Bhushan,Pankaj Mullick,tt0032836
chhalake ras kii gagariyaa bhaarii,Ek Hi Raasta/ The Only Way,1939,"Anil Biswas, Wahidan",Pandit Indra,Anil Biswas,
mujhe mil jaayegii unakii Dagariyaa,Ek Hi Rasta,1939,"Anil Biswas, Wahidan",Pt Indra,Anil Biswas,
